,Text,Type,Mesh
746,Nephrotoxic,Disease,D007674
747,Heparan sulphate,Chemical,D006497
748,Streptozotocin,Chemical,D013311
749,Diabetic nephropathy,Disease,D003928
750,Diabetes,Disease,D003920
751,Cuprolinic blue,Chemical,C015445
752,Glycosaminoglycan,Chemical,D006025
753,Albuminuria,Disease,D000419
754,Renal toxicity,Disease,D007674
755,Nitrogranulogen,Chemical,D008466
756,Ng,Chemical,D008466
757,Mtx,Chemical,D008727
758,Cy,Chemical,D003520
759,Nephrotoxicity,Disease,D007674
760,Cognitive and functional deficits,Disease,D003072
761,Divalproex sodium,Chemical,D014635
762,Tremor,Disease,D014202
763,Cognitive deficits,Disease,D003072
764,Loss of creativity,Disease,D003072
765,Functional impairments,Disease,D003072
766,Cognitive and functional impairments,Disease,D003072
767,"Cognitive, motivational, or creative deficits",Disease,D003072
768,Breast cancer,Disease,D001943
769,Mitoxantrone,Chemical,D008942
770,Leucovorin,Chemical,D002955
771,Mfl,Chemical,C085788
772,Mfl regimen,Chemical,C085788
773,Anthracycline,Chemical,D018943
774,Impaired heart function,Disease,D006331
775,Vasopressin,Chemical,D014667
776,Diabetes insipidus,Disease,D003919
777,Arginine vasopressin,Chemical,D001127
778,Avp,Chemical,D001127
779,Licl,Chemical,D018021
780,Dehydration,Disease,D003681
781,Cardiac arrest,Disease,D006323
782,Hyperkalaemia,Disease,D006947
783,Meningitis,Disease,D008581
784,Hypersensitivity,Disease,D004342
785,Mepivacaine,Chemical,D008619
786,Adrenaline,Chemical,D004837
787,Atrial fibrillation,Disease,D001281
788,Agitation,Disease,D011595
789,Incomprehensible shouts,Disease,D019954
790,Loss of consciousness,Disease,D014474
791,Dupuytren's contracture,Disease,D004387
792,Midazolam,Chemical,D008874
793,Tacrolimus,Chemical,D016559
794,Fk506,Chemical,D016559
795,Iga nephropathy,Disease,D005922
796,Focal segmental glomerulosclerosis,Disease,D005923
797,Interstitial fibrosis,Disease,D005355
798,Pg-9,Chemical,C087567
799,3alpha-tropyl 2-(p-bromophenyl)propionate,Chemical,C087567
800,Amnesia,Disease,D000647
801,S-(-)-et-126,Chemical,C098725
802,Ace inhibitors,Chemical,D000806
803,Angiotensin-converting enzyme (ace) inhibitor,Chemical,D000806
804,Respiratory arrest,Disease,D012131
805,Desaturation,Disease,D001049
806,Neuromuscular blockade,Disease,D020879
807,Venous thromboembolism,Disease,D054556
808,Vte,Disease,D054556
809,Oc,Chemical,D003276
810,Aggressive behavior,Disease,D010554
811,Aggressiveness,Disease,D010554
812,Serotonergic antidepressants,Chemical,D018490
813,Urinary incontinence,Disease,D014549
814,Venlafaxine,Chemical,C047426
815,Sertraline,Chemical,D020280
816,Lithium carbonate,Chemical,D016651
817,Tizanidine,Chemical,C023754
818,Spasticity,Disease,D009128
819,Disorders of the central nervous system,Disease,D002493
820,Kidney disease,Disease,D007674
821,Transplant glomerulopathy,Disease,D007674
822,Tg,Disease,D007674
823,Glomerulopathies,Disease,D007674
824,Thrombotic microangiopathy,Disease,D057049
825,Malignant hypertension,Disease,D006974
826,Acute tubular necrosis,Disease,D007683
827,Lupus nephritis,Disease,D008181
828,Henoch-schonlein nephritis,Disease,D011695
829,Kidney diseases,Disease,D007674
830,Endothelial injury,Disease,D014947
831,Immunologic injury,Disease,D007154
832,Bd1008,Chemical,C085527
833,Oligodeoxynucleotide,Chemical,D009838
834,Bd1018,Chemical,Unknown
835,"3s-1-[2-(3,4-dichlorophenyl)ethyl]-1,4-diazabicyclo[4.3.0]nonane",Chemical,Unknown
836,Bd1063,Chemical,C093337
837,"1-[2-(3,4-dichlorophenyl)ethyl]-4-methylpiperazine",Chemical,C093337
838,Lr132,Chemical,Unknown
839,Gaba,Chemical,D005680
840,Nmda,Chemical,D016202
841,Convulsions,Disease,D012640
842,Di-o-tolylguanidine,Chemical,C050232
843,Dtg,Chemical,C050232
844,Bd1031,Chemical,Unknown
845,"3r-1-[2-(3,4-dichlorophenyl)ethyl]-1,4-diazabicyclo[4.3.0]nonane",Chemical,Unknown
846,Convulsive,Disease,D012640
847,E4031,Chemical,C063968
848,Cisapride,Chemical,D020117
849,Terfenadine,Chemical,D016593
850,Terodiline,Chemical,C010637
851,Torsades de pointes,Disease,D016171
852,Tdp,Disease,D016171
853,Ventricular tachycardia,Disease,D017180
854,Myeloencephalopathy,Disease,D001927
855,Vincristin,Chemical,D014750
856,Vincristine,Chemical,D014750
857,Acute lymphoblastic leucemia,Disease,D054198
858,Lymphoblastic lymphoma,Disease,D054198
859,Pseudocystic transformation,Disease,Unknown
860,Prochlorperazine,Chemical,D011346
861,Antithymocyte globulin,Chemical,D000961
862,D-penicillamine,Chemical,D010396
863,Aplastic anemia,Disease,D000741
864,Ethanol,Chemical,D000431
865,Neostigmine,Chemical,D009388
866,Ach,Chemical,D000109
867,Convulsion,Disease,D012640
868,Kcl,Chemical,C522374
869,Convulsants,Disease,D012640
870,Dexamethasone,Chemical,D003907
871,Renal injury,Disease,D007674
872,Reduction in glomerular number,Disease,D007674
873,Elevated blood pressures,Disease,D006973
874,Cyproterone acetate,Chemical,D017373
875,Ethinyl estradiol,Chemical,D004997
876,Cpa,Chemical,D017373
877,Ee,Chemical,D004997
878,Acne,Disease,D000152
879,Hirsutism,Disease,D006628
880,Polycystic ovary syndrome,Disease,D011085
881,Pcos,Disease,D011085
882,Pseudoacromegaly,Disease,D004194
883,Minoxidil,Chemical,D008914
884,Acromegaly,Disease,D000172
885,Endocrine disorder,Disease,D004700
886,Hypertrophy,Disease,D006984
887,Cutis verticis gyrata,Disease,C535610
888,Anemia,Disease,D000740
889,Prostate cancer,Disease,D011471
890,Prostatic adenocarcinoma,Disease,D000230
891,Leuprolide acetate,Chemical,D016729
892,Lhrh-a,Chemical,D016729
893,Flutamide,Chemical,D005485
894,Testosterone,Chemical,D013739
895,Dilated cardiomyopathy,Disease,D002311
896,Amb,Chemical,D000666
897,Coccidioidomycosis,Disease,D003047
898,Posaconazole,Chemical,C101425
899,Quinine,Chemical,D011803
900,Nocturnal leg cramps,Disease,D020922
901,Organophosphate,Chemical,D010755
902,Neuropathological damages,Disease,D004194
903,Organophosphorus,Chemical,D010755
904,Op,Chemical,D010755
905,Diisopropylfluorophosphate,Chemical,D007531
906,Dfp,Chemical,D007531
907,Sarin,Chemical,D012524
908,Soman,Chemical,D012999
909,Ops,Chemical,D010755
910,Pralidoxime-2-chloride,Chemical,D011220
911,2pam,Chemical,D011220
912,N(6)-cyclopentyl adenosine,Chemical,C048599
913,Cpa,Chemical,C048599
914,Dizocilpine maleate,Chemical,D016291
915,Atropine sulfate,Chemical,D001285
916,Poisoning,Disease,D011041
917,Mk801,Chemical,D016291
918,Imidazoline,Chemical,D048288
919,Rilmenidine,Chemical,C032302
920,A reduced locomotor activity,Disease,D001523
921,17beta-estradiol,Chemical,D004958
922,Tincture of crataegus,Chemical,C007145
923,Isoproterenol,Chemical,D007545
924,Tcr,Chemical,C007145
925,Alcoholic extract of the berries of hawthorn,Chemical,C007145
926,Crataegus oxycantha,Chemical,C007145
927,Adp,Chemical,D000244
928,Raloxifene,Chemical,D020849
929,Tamoxifen,Chemical,D013629
930,Osteoporosis,Disease,D010024
931,Cataracts,Disease,D002386
932,Gallbladder disease,Disease,D005705
933,Endometrial hyperplasia,Disease,D004714
934,Endometrial cancer,Disease,D016889
935,Biliary pseudolithiasis,Disease,D001660
936,Pseudolithiasis,Disease,D001660
937,Gallbladder dysfunction,Disease,D005705
938,Gnc92h2,Chemical,Unknown
939,Cocaine overdose,Disease,D062787
940,Osteopenia,Disease,D001851
941,Raloxifene hydrochloride,Chemical,D020849
942,Amenorrhea,Disease,D000568
943,Prolonged qt interval,Disease,D008133
944,Fungal infection,Disease,D009181
945,Long qt syndrome,Disease,D008133
946,Cognitive dysfunctions,Disease,D003072
947,Extract of daucus carota seeds,Chemical,D010936
948,Dce,Chemical,D010936
949,Daucus carota extract,Chemical,D010936
950,Cauda equina syndrome,Disease,D011128
951,Radiculopathy,Disease,D011843
952,Triamcinolone,Chemical,D014221
953,Bupivacaine,Chemical,D002045
954,Triamcinolone diacetate,Chemical,C030262
955,Numbness,Disease,D006987
956,Lower extremity weakness,Disease,D020335
957,Loss of sensation,Disease,D006987
958,Neurologic deterioration,Disease,D009422
959,Estradiol- and testosterone esters,Chemical,C032109
960,Rapamycin,Chemical,D020123
961,Autoimmunity,Disease,D001327
962,Cystic renal diseases,Disease,D052177
963,Renal cancer,Disease,D007680
964,Acute renal dysfunction,Disease,D058186
965,Chronic renal damage,Disease,D051436
966,Statin,Chemical,D019821
967,Statins,Chemical,D019821
968,Hyperckaemia,Disease,Unknown
969,Necrotic,Disease,D009336
970,Cyclic nucleotide,Chemical,D009712
971,Cardiovascular disease,Disease,D002318
972,Arrhythmia,Disease,D001145
973,Coronary heart disease,Disease,D003327
974,Smoking,Chemical,D012906
975,Hearing impairment,Disease,D034381
976,Decreases of teoaes amplitudes,Disease,Unknown
977,Neuroinflammation,Disease,D020078
978,Behavioral abnormalities,Disease,D001523
979,Terbutaline,Chemical,D013726
980,Autism,Disease,D001321
981,Neurodevelopmental disorder,Disease,D002658
982,Deficits in communication and social skills,Disease,D003147
983,Repetitive behaviors,Disease,D001523
984,Preterm labor,Disease,D007752
985,Autism spectrum disorders,Disease,D002659
986,Schizophrenia,Disease,D012559
987,Psychosis,Disease,D011618
988,Levetiracetam,Chemical,C026098
989,Valproate,Chemical,D014635
990,Lev,Chemical,C026098
991,Idiopathic epilepsy,Disease,C562694
992,Vpa,Chemical,D014635
993,Tonic-clonic seizures,Disease,D004830
994,"Impaired word fluency, psychomotor speed and working memory",Disease,D008569
995,Ne,Chemical,D009638
996,Yohimbine,Chemical,D015016
997,Attention-deficit/hyperactivity disorder,Disease,D001289
998,Methylphenidate,Chemical,D008774
999,Adhd,Disease,D001289
1000,Drowsiness,Disease,D006970
1001,Thalidomide,Chemical,D013792
1002,Non-hodgkin lymphomas,Disease,D008228
1003,Cancer,Disease,D009369
1004,Leukemia,Disease,D007938
1005,Multiple myeloma,Disease,D009101
1006,Mantle cell lymphoma,Disease,D020522
1007,Lymphoplasmacytic lymphoma,Disease,D008223
1008,Tumour,Disease,D009369
1009,Lymphomas,Disease,D008223
1010,Fatigue,Disease,D005221
1011,Somnolence,Disease,D006970
1012,Dyspnea,Disease,D004417
1013,Lenalidomide,Chemical,C467567
1014,Priapism,Disease,D011317
1015,Green tea,Chemical,D010936
1016,Vitamin e,Chemical,D014810
1017,Iso,Chemical,D007545
1018,Ca,Chemical,D002118
1019,Na,Chemical,D012964
1020,Mg,Chemical,D008274
1021,Ocular myasthenia,Disease,D009157
1022,Pegylated interferon,Chemical,C417083
1023,Ribavirin,Chemical,D012254
1024,Chronic hepatitis c,Disease,D019698
1025,Diplopia,Disease,D004172
1026,Pegylated interferon (ifn) alpha-2b,Chemical,C417083
1027,Chc,Disease,D019698
1028,Ptosis on the right upper lid,Disease,D001763
1029,Restricted right eye movement,Disease,D015835
1030,Pegylated ifn alpha-2b,Chemical,C417083
1031,Ifn,Chemical,C417083
1032,Glycine,Chemical,D005998
1033,Ssr103800,Chemical,Unknown
1034,Glutamate,Chemical,D018698
1035,N-methyl-d-aspartate,Chemical,D016202
1036,Amphetamine,Chemical,D000661
1037,Mk-801,Chemical,D016291
1038,Olanzapine,Chemical,C076029
1039,Aripiprazole,Chemical,C094645
1040,Catalepsy,Disease,D002375
1041,Phenylephrine,Chemical,D010656
1042,Ephedrine,Chemical,D004809
1043,Reduces frontal lobe oxygenation,Disease,D002534
1044,Propofol,Chemical,D015742
1045,Obsessive-compulsive-like behaviors,Disease,D009771
1046,Obsessive-compulsive disorder,Disease,D009771
1047,Ocd,Disease,D009771
1048,Behavioral inflexibility,Disease,Unknown
1049,Memory impairment,Disease,D008569
1050,Hoarding,Disease,D060845
1051,Corticostriatal dysfunction,Disease,Unknown
1052,Hemolytic uremic syndrome,Disease,D006463
1053,Hus,Disease,D006463
1054,Dipyridamole,Chemical,D004176
1055,Anuria,Disease,D001002
1056,Microangiopathic hemolytic anemia,Disease,D000743
1057,Hydrocortisone,Chemical,D006854
1058,Radiocalcium,Chemical,D002132
1059,Calcium chloride,Chemical,D002122
1060,Depressive,Disease,D003866
1061,Betaxolol,Chemical,D015784
1062,Glaucomatous,Disease,D005901
1063,Malignant mesenchymal tumors,Disease,C535700
1064,Malignant mesenchymal tumor,Disease,C535700
1065,"Ifosfamide, vincristine, and dactinomycin",Chemical,C064227
1066,Iva,Chemical,C064227
1067,Glucosuria,Disease,D006030
1068,Aminoaciduria,Disease,D000608
1069,Renal abnormalities,Disease,D007674
1070,Fanconi's syndrome,Disease,D005198
1071,Tdfs,Disease,D005198
1072,Mesenchymal tumors,Disease,C535700
1073,Increase in locomotor activity,Disease,D006948
1074,Mecamylamine,Chemical,D008464
1075,Hexamethonium,Chemical,D018738
1076,Sch 23390,Chemical,C534628
1077,Raclopride,Chemical,D020891
1078,Fluphenazine,Chemical,D005476
1079,Phno,Chemical,Unknown
1080,Skf 38393,Chemical,D015647
1081,Mefloquine,Chemical,D015767
1082,Psychoses,Disease,D011605
1083,Anxiety neurosis,Disease,D001008
1084,Disturbances of sleep-wake rhythm,Disease,D012893
1085,Malaria,Disease,D008288
1086,Mazindol,Chemical,D008454
1087,Duchenne dystrophy,Disease,D020388
1088,Weakness,Disease,D018908
1089,Decreased appetite,Disease,D001068
1090,Gastrointestinal symptoms,Disease,D012817
1091,Pentoxifylline,Chemical,D010431
1092,Trental,Chemical,D010431
1093,Hyperemia,Disease,D006940
1094,Thallium,Chemical,D013793
1095,Peripheral vascular disease,Disease,D016491
1096,Methylxanthine,Chemical,C008514
1097,Intermittent claudication,Disease,D007383
1098,Methylxanthines,Chemical,C008514
1099,Pentoxyifylline,Chemical,D010431
1100,Cerebral haemorrhage,Disease,D002543
1101,Pneumonia,Disease,D011014
1102,Bronchitis,Disease,D001991
1103,Neoplasms,Disease,D009369
1104,Heart diseases,Disease,D006331
1105,Septicaemia,Disease,D018805
1106,Deaths,Disease,D003643
1107,Levodopa,Chemical,D007980
1108,Noradrenaline,Chemical,D009638
1109,Parkinsonian,Disease,D010300
1110,Argentine hemorrhagic fever,Disease,D006478
1111,Ahf,Disease,D006478
1112,Viremia,Disease,D014766
1113,Angina,Disease,D000787
1114,Oxytocin,Chemical,D010121
1115,Urethane,Chemical,D014520
1116,Delta 9-tetrahydrocannabinol,Chemical,D013759
1117,Thc,Chemical,D013759
1118,6-hydroxydopamine,Chemical,D016627
1119,6-ohda,Chemical,D016627
1120,Desipramine,Chemical,D003891
1121,Alfentanil,Chemical,D015760
1122,Somatic rigidity,Disease,D009127
1123,Metocurine,Chemical,C032943
1124,Cis-platin,Chemical,D002945
1125,Head and neck carcinoma,Disease,D006258
1126,Esophageal carcinoma,Disease,D004938
1127,Sudden death,Disease,D003645
1128,Tachyarrhythmia,Disease,D013610
1129,Auditory neurotoxicity,Disease,D006311
1130,Deferoxamine,Chemical,D003676
1131,Iron,Chemical,D007501
1132,"Abnormal audiograms with deficits mostly in the high frequency range of 4,000 to 8,000 hz",Disease,D006316
1133,Permanent disability,Disease,D003638
1134,Auditory abnormality,Disease,D006311
1135,Ototoxicity,Disease,D006311
1136,Auditory dysfunction,Disease,D006311
1137,Flurbiprofen,Chemical,D005480
1138,Juvenile rheumatoid arthritis,Disease,D001171
1139,Tender joints,Disease,Unknown
1140,Swelling,Disease,D004487
1141,Tenderness,Disease,Unknown
1142,Morning stiffness,Disease,Unknown
1143,Fecal occult blood,Disease,Unknown
1144,Gastrointestinal (gi) bleeding,Disease,D006471
1145,Abdominal pain,Disease,D015746
1146,Mipafox,Chemical,C005238
1147,Neuropathic damage,Disease,D009422
1148,"N, n'-diisopropylphosphorodiamidofluoridate",Chemical,C005238
1149,Cord damage,Disease,D013118
1150,Phenylpropanolamine,Chemical,D010665
1151,Ppa,Chemical,D010665
1152,Neuropsychiatric symptoms,Disease,D001523
1153,Psoriasis,Disease,D011565
1154,Azathioprine,Chemical,D001379
1155,Fibrosis,Disease,D005355
1156,Liver damage,Disease,D056486
1157,Ebstein's anomaly,Disease,D004437
1158,Cardiac malformations,Disease,D006331
1159,Infarcts,Disease,D007238
1160,Isoproterenols,Chemical,D007545
1161,Polyethylene glycol 400,Chemical,D011092
1162,Peg 400,Chemical,D011092
1163,Adr,Chemical,D004317
1164,Cardiac morphological alterations,Disease,D009202
1165,L1210 leukemia,Disease,D007939
1166,Ehrlich ascites tumor,Disease,D002286
1167,Bcnu,Chemical,D002330
1168,Malignant gliomas,Disease,D005910
1169,"1,3-bis-(2-chloroethyl)-1-nitrosourea",Chemical,D002330
1170,Astrocytomas,Disease,D001254
1171,Edema,Disease,D004487
1172,Loss of vision,Disease,D014786
1173,Retinal vasculitis,Disease,D031300
1174,Visual loss,Disease,D014786
1175,Sodium chloride,Chemical,D012965
1176,Cimetidine,Chemical,D002927
1177,Clear cell adenocarcinoma,Disease,D018262
1178,Phenobarbitone,Chemical,D010634
1179,Enlargement of the liver,Disease,D006529
1180,Carbon tetrachloride,Chemical,D002251
1181,Cirrhosis of the liver,Disease,D008103
1182,Splenomegaly,Disease,D013163
1183,Atrophy,Disease,D001284
1184,Ccl4,Chemical,D002251
1185,Diabetes-insipidus-like syndrome,Disease,D003919
1186,Amiloride,Chemical,D000584
1187,Polydipsia,Disease,D059606
1188,Alprazolam,Chemical,D000525
1189,Enuresis,Disease,D004775
1190,Aggression,Disease,D001523
1191,Impaired memory,Disease,D008569
1192,Weight loss,Disease,D015431
1193,Dup 753,Chemical,D019808
1194,Nephrosis,Disease,D009401
1195,Nephrotic syndromes,Disease,D009404
1196,Hypoalbuminemia,Disease,D034141
1197,Hypercholesterolemia,Disease,D006937
1198,Blood nitrogen urea,Chemical,D001806
1199,Losartan,Chemical,D019808
1200,Sodium bicarbonate,Chemical,D017693
1201,Penile pain,Disease,D004414
1202,Erectile dysfunction,Disease,D007172
1203,Papaverine,Chemical,D010208
1204,Phentolamine,Chemical,D010646
1205,Octreotide,Chemical,D015282
1206,Gallstone,Disease,D042882
1207,Acromegalic,Disease,D000172
1208,Gallstones,Disease,D042882
1209,Acute cholecystitis,Disease,D041881
1210,Cholecystitis,Disease,D002764
1211,Dyskinesia,Disease,D004409
1212,Pd,Disease,D010300
1213,Sodium valproate,Chemical,D014635
1214,Neurological disorders,Disease,D009422
1215,Cerebellum damage,Disease,D002526
1216,Hepatic damage,Disease,D056486
1217,Hyperammonemia,Disease,D022124
1218,Amikacin,Chemical,D000583
1219,Aminoglycosides,Chemical,D000617
1220,Endophthalmitis,Disease,D009877
1221,Retinal toxicity,Disease,D012164
1222,Vancomycin,Chemical,D014640
1223,Streptococcal endophthalmitis,Disease,D013290
1224,Fluorescein,Chemical,D019793
1225,Telangiectasis,Disease,D013684
1226,Ischaemia,Disease,D007511
1227,Atrioventricular reentrant tachycardia,Disease,D013611
1228,Idiopathic dilated cardiomyopathy,Disease,D002311
1229,Wpw syndrome,Disease,D014927
1230,Avrt,Disease,D013611
1231,Liver disease,Disease,D008107
1232,Hydrochlorofluorocarbons,Chemical,Unknown
1233,Ozone,Chemical,D010126
1234,Chlorofluorocarbons,Chemical,D017402
1235,Hcfcs,Chemical,Unknown
1236,Cfcs,Chemical,D017402
1237,"1,1-dichloro-2,2,2-trifluoroethane",Chemical,C067411
1238,Hcfc 123,Chemical,C067411
1239,"1-chloro-1,2,2,2-tetrafluoroethane",Chemical,C072959
1240,Hcfc 124,Chemical,C072959
1241,"1-bromo-1-chloro-2,2,2-trifluoroethane",Chemical,D006221
